"Date","Price","Open","High","Low","Change %"
"08/31/2023","4.124","4.124","4.124","4.124","-1.67%"
"08/30/2023","4.194","4.194","4.194","4.194","0.99%"
"08/29/2023","4.153","4.153","4.153","4.153","-1.73%"
"08/28/2023","4.226","4.226","4.226","4.226","-0.09%"
"08/25/2023","4.230","4.230","4.230","4.230","1.10%"
"08/24/2023","4.184","4.184","4.184","4.184","0.17%"
"08/23/2023","4.177","4.177","4.177","4.177","-2.97%"
"08/22/2023","4.305","4.305","4.305","4.305","-2.34%"
"08/21/2023","4.408","4.408","4.408","4.408","1.94%"
"08/18/2023","4.324","4.324","4.324","4.324","-2.11%"
"08/17/2023","4.417","4.417","4.417","4.417","1.35%"
"08/16/2023","4.358","4.358","4.358","4.358","-0.05%"
"08/15/2023","4.360","4.360","4.360","4.360","1.70%"
"08/14/2023","4.287","4.287","4.287","4.287","0.56%"
"08/11/2023","4.263","4.263","4.263","4.263","2.65%"
"08/10/2023","4.153","4.153","4.153","4.153","0.02%"
"08/09/2023","4.152","4.152","4.152","4.152","0.46%"
"08/08/2023","4.133","4.133","4.133","4.133","-2.96%"
"08/07/2023","4.259","4.259","4.259","4.259","1.09%"
"08/04/2023","4.213","4.213","4.213","4.213","-0.94%"
"08/03/2023","4.253","4.253","4.253","4.253","1.33%"
"08/02/2023","4.197","4.197","4.197","4.197","0.10%"
"08/01/2023","4.193","4.193","4.193","4.193","2.17%"
"07/31/2023","4.104","4.104","4.104","4.104","-0.36%"
"07/28/2023","4.119","4.119","4.119","4.119","1.05%"
"07/27/2023","4.076","4.076","4.076","4.076","-0.66%"
"07/26/2023","4.103","4.103","4.103","4.103","0.98%"
"07/25/2023","4.063","4.063","4.063","4.063","0.87%"
"07/24/2023","4.028","4.028","4.028","4.028","-0.96%"
"07/22/2023","4.067","4.067","4.067","4.067","-0.07%"
"07/21/2023","4.070","4.070","4.070","4.070","-1.00%"
"07/20/2023","4.111","4.111","4.111","4.111","0.88%"
"07/19/2023","4.075","4.075","4.075","4.075","1.52%"
"07/18/2023","4.014","4.014","4.014","4.014","-3.60%"
"07/17/2023","4.164","4.164","4.164","4.164","-0.34%"
"07/14/2023","4.178","4.178","4.178","4.178","0.58%"
"07/13/2023","4.154","4.154","4.154","4.154","-2.72%"
"07/12/2023","4.270","4.270","4.270","4.270","-3.46%"
"07/11/2023","4.423","4.423","4.423","4.423","0.77%"
"07/10/2023","4.389","4.389","4.389","4.389","0.67%"
"07/07/2023","4.360","4.360","4.360","4.360","-0.77%"
"07/06/2023","4.394","4.394","4.394","4.394","5.40%"
"07/05/2023","4.169","4.169","4.169","4.169","-0.88%"
"07/04/2023","4.206","4.206","4.206","4.206","1.50%"
"07/03/2023","4.144","4.144","4.144","4.144","1.69%"
"06/30/2023","4.075","4.075","4.075","4.075","-0.59%"
"06/29/2023","4.099","4.099","4.099","4.099","3.22%"
"06/28/2023","3.971","3.971","3.971","3.971","-0.55%"
"06/27/2023","3.993","3.993","3.993","3.993","1.22%"
"06/26/2023","3.945","3.945","3.945","3.945","-1.13%"
"06/23/2023","3.990","3.990","3.990","3.990","-3.25%"
"06/22/2023","4.124","4.124","4.124","4.124","1.90%"
"06/21/2023","4.047","4.047","4.047","4.047","0.47%"
"06/20/2023","4.028","4.028","4.028","4.028","-2.47%"
"06/19/2023","4.130","4.130","4.130","4.130","2.33%"
"06/16/2023","4.036","4.036","4.036","4.036","-2.16%"
"06/15/2023","4.125","4.125","4.125","4.125","0.81%"
"06/14/2023","4.092","4.092","4.092","4.092","0.47%"
"06/13/2023","4.073","4.073","4.073","4.073","0.32%"
"06/12/2023","4.060","4.060","4.060","4.060","-1.43%"
"06/09/2023","4.119","4.119","4.119","4.119","-1.93%"
"06/08/2023","4.200","4.200","4.200","4.200","-1.62%"
"06/07/2023","4.269","4.269","4.269","4.269","2.50%"
"06/06/2023","4.165","4.165","4.165","4.165","2.92%"
"06/05/2023","4.047","4.047","4.047","4.047","1.97%"
"06/03/2023","3.969","3.969","3.969","3.969","-0.40%"
"06/02/2023","3.985","3.985","3.985","3.985","-0.60%"
"06/01/2023","4.009","4.009","4.009","4.009","-2.05%"
"05/31/2023","4.093","4.093","4.093","4.093","-1.61%"
"05/30/2023","4.160","4.160","4.160","4.160","-2.78%"
"05/29/2023","4.279","4.279","4.279","4.279","-2.51%"
"05/26/2023","4.389","4.389","4.389","4.389","0.05%"
"05/25/2023","4.387","4.387","4.387","4.387","1.36%"
"05/24/2023","4.328","4.328","4.328","4.328","0.02%"
